latitude	longitude	store_name	code	location	imei
35.89972	14.51472	Valletta	MT	Europe/Malta	359043379931766239
40.1675	34.37389	Sungurlu	TR	Europe/Istanbul	359043379931766726
-21.44236	27.46153	Tonota	BW	Africa/Gaborone	3590433799317662451
52.4581	13.28702	Dahlem	DE	Europe/Berlin	3590433799317661784
40.93121	-73.89875	Yonkers	US	America/New_York	359043379931766387
12.35275	121.06761	San Jose	PH	Asia/Manila	359043379931766528
22.83957	91.84128	Manikchari	BD	Asia/Dhaka	3590433799317661107
10.10649	76.35484	Alwaye	IN	Asia/Kolkata	8630330696303481149
36.82167	128.63083	Eisen	KR	Asia/Seoul	863033069630348537
34.86472	117.55417	Zaozhuang	CN	Asia/Shanghai	8630330696303481644
51.19139	6.51352	Korschenbroich	DE	Europe/Berlin	8630330696303482378
15.45144	78.14797	Betamcherla	IN	Asia/Kolkata	359043379931766379
43.86682	-79.2663	Markham	CA	America/Toronto	863033069630348768
0.49113	29.47306	Beni	CD	Africa/Lubumbashi	359043379931766999
20.22816	-103.5687	Zacoalco de Torres	MX	America/Mexico_City	863033069630348164
14.8361	120.97844	Guyong	PH	Asia/Manila	3590433799317661313
40.81	-73.9625	Morningside Heights	US	America/New_York	3590433799317662436
14.62072	74.83554	Sirsi	IN	Asia/Kolkata	3590433799317661123
53.94313	10.30215	Bad Segeberg	DE	Europe/Berlin	359043379931766007
36.21544	65.93249	Sar-e Pul	AF	Asia/Kabul	8630330696303482048
51.21187	4.25633	Beveren	BE	Europe/Brussels	359043379931766387
21.46527	83.97573	Sambalpur	IN	Asia/Kolkata	3590433799317662469
46.23899	-63.13414	Charlottetown	CA	America/Halifax	3590433799317661412
34.09668	-117.71978	Claremont	US	America/Los_Angeles	3590433799317662386
50.18545	27.06365	Shepetivka	UA	Europe/Kyiv	359043379931766262
42.8139	-1.64295	Segundo Ensanche	ES	Europe/Madrid	359043379931766544
15.45144	78.14797	Betamcherla	IN	Asia/Kolkata	8630330696303482055
23.9028	89.11943	Kushtia	BD	Asia/Dhaka	3590433799317661438
39.22493	42.85693	Patnos	TR	Europe/Istanbul	359043379931766270
-4.26613	15.28318	Brazzaville	CG	Africa/Brazzaville	359043379931766866
41.85059	-87.882	Westchester	US	America/Chicago	8630330696303481255
-4.26613	15.28318	Brazzaville	CG	Africa/Brazzaville	863033069630348438
36.6009	126.665	Hongseong	KR	Asia/Seoul	359043379931766486
10.12268	77.54372	Periyakulam	IN	Asia/Kolkata	359043379931766940
19.32932	-98.1664	Contla	MX	America/Mexico_City	8630330696303482436
55.1904	30.2049	Vitebsk	BY	Europe/Minsk	359043379931766726
42	21.32778	Saraj	MK	Europe/Skopje	8630330696303482097
50.073658	14.418540	Praha	CZ	Europe/Prague	3590433799317662493
50.9803	11.32903	Weimar	DE	Europe/Berlin	3590433799317662139
55.67938	12.53463	Frederiksberg	DK	Europe/Copenhagen	3590433799317661792
16.0438	120.4861	Manaoag	PH	Asia/Manila	3590433799317662352
14.53767	46.83187	Ataq	YE	Asia/Aden	8630330696303482287
52.59319	13.32127	Wittenau	DE	Europe/Berlin	8630330696303481008
35.8	137.23333	Gero	JP	Asia/Tokyo	3590433799317661230
43.71032	-1.05366	Dax	FR	Europe/Paris	8630330696303481818
-7.81667	112.01667	Kediri	ID	Asia/Jakarta	8630330696303481065
44.22639	22.53083	Negotin	RS	Europe/Belgrade	3590433799317661644
-21.42917	-45.94722	Alfenas	BR	America/Sao_Paulo	8630330696303481636
8.56697	123.33471	Dipolog	PH	Asia/Manila	3590433799317662345
-7.60361	37.00438	Kidodi	TZ	Africa/Dar_es_Salaam	359043379931766510
47.46657	84.87144	Zaysan	KZ	Asia/Almaty	3590433799317661644
28.90054	-81.26367	Deltona	US	America/New_York	8630330696303481768
49.593777	17.250879	Olomouc	CZ	Europe/Prague	359043379931766072
-19.72806	-50.19556	Iturama	BR	America/Sao_Paulo	863033069630348016
-10.95817	-38.79084	Tucano	BR	America/Bahia	359043379931766734
25.66795	85.83636	Dalsingh Sarai	IN	Asia/Kolkata	8630330696303481065
11.84962	-86.19903	Jinotepe	NI	America/Managua	8630330696303481123
35.6803	51.0193	Shahre Jadide Andisheh	IR	Asia/Tehran	863033069630348149
26.11527	86.59509	Supaul	IN	Asia/Kolkata	3590433799317661222
33.76446	-117.79394	North Tustin	US	America/Los_Angeles	359043379931766247
56.85836	35.90057	Tver	RU	Europe/Moscow	8630330696303481735
0.49113	29.47306	Beni	CD	Africa/Lubumbashi	3590433799317661263
33.76446	-117.79394	North Tustin	US	America/Los_Angeles	3590433799317662170
50.50301	13.63617	Most	CZ	Europe/Prague	3590433799317662022
36.08497	9.37082	Siliana	TN	Africa/Tunis	8630330696303482477
53.69786	-2.68758	Leyland	GB	Europe/London	3590433799317662246
56.03361	35.96944	Volokolamsk	RU	Europe/Moscow	863033069630348479
19.32889	-99.32556	San Lorenzo Acopilco	MX	America/Mexico_City	863033069630348644
4.92675	6.26764	Yenagoa	NG	Africa/Lagos	863033069630348578
-6.25	38.66667	Mvomero	TZ	Africa/Dar_es_Salaam	359043379931766593
51.12794	4.21372	Temse	BE	Europe/Brussels	8630330696303482451
56.85836	35.90057	Tver	RU	Europe/Moscow	3590433799317662246
34.09668	-117.71978	Claremont	US	America/Los_Angeles	8630330696303481099
32.50611	120.14278	Jiangyan	CN	Asia/Shanghai	3590433799317661024
10.31672	123.89071	Cebu City	PH	Asia/Manila	3590433799317662469
45.9836	12.70038	Cordenons	IT	Europe/Rome	8630330696303482261
32.44874	-99.73314	Abilene	US	America/Chicago	359043379931766494
55.85	37.56667	Likhobory	RU	Europe/Moscow	3590433799317662162
43.11667	1.6	Pamiers	FR	Europe/Paris	8630330696303481321
60.97944	76.92421	Izluchinsk	RU	Asia/Yekaterinburg	8630330696303482022
-6.25	38.66667	Mvomero	TZ	Africa/Dar_es_Salaam	8630330696303482105
9.57046	76.32756	Kalavoor	IN	Asia/Kolkata	3590433799317662428
12.1277	78.15794	Dharmapuri	IN	Asia/Kolkata	863033069630348032
23.0072	-82.4017	Boyeros	CU	America/Havana	8630330696303481867
49.07866	30.96755	Zvenihorodka	UA	Europe/Kyiv	863033069630348743
42.30865	-83.48216	Canton	US	America/Detroit	3590433799317661495
3.7278	98.6738	Labuhan Deli	ID	Asia/Jakarta	3590433799317662238
68.79833	16.54165	Harstad	NO	Europe/Oslo	3590433799317661206
35.64889	117.27583	Sishui	CN	Asia/Shanghai	3590433799317661735
60.18427	24.95034	Kallio	FI	Europe/Helsinki	3590433799317662238
48.975658	14.480255	České Budějovice	CZ	Europe/Prague	3590433799317661552
22.83957	91.84128	Manikchari	BD	Asia/Dhaka	8630330696303482212
41.85059	-87.882	Westchester	US	America/Chicago	8630330696303481198
47.90771	106.88324	Ulan Bator	MN	Asia/Ulaanbaatar	8630330696303481396
-6.25	38.66667	Mvomero	TZ	Africa/Dar_es_Salaam	3590433799317661552
28.92694	78.23456	Bachhraon	IN	Asia/Kolkata	863033069630348776
36.06523	-119.01677	Porterville	US	America/Los_Angeles	8630330696303481123
-7.54972	110.71639	Ngemplak	ID	Asia/Jakarta	8630330696303481560
23.9028	89.11943	Kushtia	BD	Asia/Dhaka	863033069630348263
10.31672	123.89071	Cebu City	PH	Asia/Manila	863033069630348362
53.94313	10.30215	Bad Segeberg	DE	Europe/Berlin	3590433799317662030
9.92787	-84.13722	San Rafael	CR	America/Costa_Rica	863033069630348958
53.51684	-113.3187	Sherwood Park	CA	America/Edmonton	8630330696303481917
-6.8	39.25	Magomeni	TZ	Africa/Dar_es_Salaam	863033069630348008
6.9909	79.883	Hendala	LK	Asia/Colombo	359043379931766585
53.16167	6.76111	Hoogezand	NL	Europe/Amsterdam	359043379931766890
40.34912	-111.90466	Saratoga Springs	US	America/Denver	8630330696303482360
40.58654	-122.39168	Redding	US	America/Los_Angeles	359043379931766874
34.4833	136.84186	Toba	JP	Asia/Tokyo	863033069630348586
43.16547	-77.70066	Gates-North Gates	US	America/New_York	3590433799317661586
41.77583	140.73667	Hakodate	JP	Asia/Tokyo	863033069630348735
5.20856	-74.73584	Honda	CO	America/Bogota	3590433799317661131
51.78771	56.36091	Saraktash	RU	Asia/Yekaterinburg	359043379931766502
-37.32167	-59.13316	Tandil	AR	America/Argentina/Buenos_Aires	863033069630348222
53.51684	-113.3187	Sherwood Park	CA	America/Edmonton	359043379931766023
53.14657	140.72287	Nikolayevsk-on-Amure	RU	Asia/Vladivostok	359043379931766296
14.93333	-91.11667	Chichicastenango	GT	America/Guatemala	359043379931766692
22.19303	88.18466	Diamond Harbour	IN	Asia/Kolkata	863033069630348925
11.84962	-86.19903	Jinotepe	NI	America/Managua	8630330696303482436
25.92493	73.66633	Sojat	IN	Asia/Kolkata	3590433799317661727
42.55308	-87.93341	Pleasant Prairie	US	America/Chicago	3590433799317661214
32.54044	-82.90375	Dublin	US	America/New_York	863033069630348339
-23.85972	35.34722	Maxixe	MZ	Africa/Maputo	863033069630348230
33.14447	47.3799	Darreh Shahr	IR	Asia/Tehran	8630330696303481768
-4.5833	15.16554	Kasangulu	CD	Africa/Kinshasa	8630330696303481230
-6.91806	106.92667	Sukabumi	ID	Asia/Jakarta	8630330696303482303
43.86682	-79.2663	Markham	CA	America/Toronto	863033069630348875
41.9001	-71.08977	Taunton	US	America/New_York	3590433799317662204
37.58105	29.26639	Serinhisar	TR	Europe/Istanbul	3590433799317662261
42.24113	-88.3162	Crystal Lake	US	America/Chicago	359043379931766718
20.14298	-77.43532	Media Luna	CU	America/Havana	3590433799317662352
38.45598	48.87498	Astara	AZ	Asia/Baku	863033069630348131
40.85158	122.74754	Haicheng	CN	Asia/Shanghai	863033069630348941
53.53041	43.67663	Nizhniy Lomov	RU	Europe/Moscow	359043379931766619
48.8765	2.18967	Rueil-Malmaison	FR	Europe/Paris	8630330696303482444
42.8139	-1.64295	Segundo Ensanche	ES	Europe/Madrid	359043379931766429
28.88162	120.03308	Guli	CN	Asia/Shanghai	359043379931766064
45.99194	29.41824	Artsyz	UA	Europe/Kyiv	3590433799317662485
56.56317	-2.58736	Arbroath	GB	Europe/London	863033069630348099
4.73245	-74.26419	Madrid	CO	America/Bogota	3590433799317662006
26.91756	-82.07842	Punta Gorda Isles	US	America/New_York	359043379931766544
50.23019	8.77155	Karben	DE	Europe/Berlin	863033069630348644
6.95194	121.96361	Recodo	PH	Asia/Manila	3590433799317661669
59.33333	18.28333	Boo	SE	Europe/Stockholm	863033069630348776
1.6561	103.6032	Kulai	MY	Asia/Kuala_Lumpur	8630330696303482485
11.86064	9.0027	Gaya	NG	Africa/Lagos	359043379931766601
50.82709	6.9747	Wesseling	DE	Europe/Berlin	359043379931766676
53.7446	-0.33525	Kingston upon Hull	GB	Europe/London	8630330696303481941
45.44868	-73.81669	Pointe-Claire	CA	America/Toronto	8630330696303481172
32.44874	-99.73314	Abilene	US	America/Chicago	8630330696303481453
46.7055	38.2739	Yeysk	RU	Europe/Moscow	8630330696303481701
44.97639	19.61222	Sremska Mitrovica	RS	Europe/Belgrade	3590433799317661651
49.41029	38.15035	Svatove	UA	Europe/Zaporozhye	359043379931766254
31.20176	29.91582	Alexandria	EG	Africa/Cairo	359043379931766676
41.63976	2.35739	Cardedeu	ES	Europe/Madrid	3590433799317662261
35.06544	1.04945	Frenda	DZ	Africa/Algiers	359043379931766742
43.78956	7.60872	Ventimiglia	IT	Europe/Rome	3590433799317661917
36.92574	14.72443	Ragusa	IT	Europe/Rome	3590433799317661727
41.29444	69.67639	Parkent	UZ	Asia/Tashkent	8630330696303481842
40.64621	-73.97069	Kensington	US	America/New_York	863033069630348016
-7.51611	109.05389	Wangon	ID	Asia/Jakarta	863033069630348057
-7.51611	109.05389	Wangon	ID	Asia/Jakarta	863033069630348958
14.37395	100.48528	Bang Ban	TH	Asia/Bangkok	863033069630348594
33.41012	-91.06177	Greenville	US	America/Chicago	8630330696303482097
20.28527	-103.42897	Jocotepec	MX	America/Mexico_City	8630330696303481057
54.8421	46.5813	Alatyr‚Äô	RU	Europe/Moscow	8630330696303481826
-8.43333	114.33333	Muncar	ID	Asia/Jakarta	359043379931766502
53.43333	-7.95	Athlone	IE	Europe/Dublin	359043379931766635
55.54028	89.20083	Sharypovo	RU	Asia/Krasnoyarsk	863033069630348131
21.28306	-89.66123	Progreso	MX	America/Merida	8630330696303481529
55.82737	-4.0573	Viewpark	GB	Europe/London	3590433799317662147
14.95472	120.89694	Baliuag	PH	Asia/Manila	3590433799317661115
43.61092	3.87723	Montpellier	FR	Europe/Paris	3590433799317662220
46.7055	38.2739	Yeysk	RU	Europe/Moscow	863033069630348644
51.64316	-0.36053	Bushey	GB	Europe/London	3590433799317662154
25.75728	75.37991	Deoli	IN	Asia/Kolkata	8630330696303482063
12.35275	121.06761	San Jose	PH	Asia/Manila	8630330696303482360
35.61452	-88.81395	Jackson	US	America/Chicago	8630330696303481560
28.92694	78.23456	Bachhraon	IN	Asia/Kolkata	359043379931766445
22.49396	-105.36369	Acaponeta	MX	America/Mazatlan	3590433799317661131
57.47908	-4.22398	Inverness	GB	Europe/London	863033069630348826
45.0408	-93.263	Columbia Heights	US	America/Chicago	359043379931766544
41.24264	16.50104	Bisceglie	IT	Europe/Rome	359043379931766890
53.51684	-113.3187	Sherwood Park	CA	America/Edmonton	359043379931766221
41.54566	-71.29144	Middletown	US	America/New_York	8630330696303482329
-20.88231	55.4504	Saint-Denis	RE	Indian/Reunion	863033069630348008
45.75279	130.57211	Boli	CN	Asia/Shanghai	8630330696303481990
14.62578	121.12251	Antipolo	PH	Asia/Manila	8630330696303481792
17.34769	78.55757	Lal Bahadur Nagar	IN	Asia/Kolkata	8630330696303482071
53.81667	-3.05	Blackpool	GB	Europe/London	8630330696303481552
48.25	16.4	Floridsdorf	AT	Europe/Vienna	3590433799317662022
14.95472	120.89694	Baliuag	PH	Asia/Manila	8630330696303481172
-4.06667	37.73333	Same	TZ	Africa/Dar_es_Salaam	359043379931766569
10.10649	76.35484	Alwaye	IN	Asia/Kolkata	3590433799317662170
-34.28853	146.05093	Griffith	AU	Australia/Sydney	8630330696303481537
14.14989	121.3152	Calauan	PH	Asia/Manila	863033069630348123
36.02506	-86.77917	Brentwood Estates	US	America/Chicago	863033069630348917
43.50891	16.43915	Split	HR	Europe/Zagreb	3590433799317661511
35.48199	137.02166	Minokamo	JP	Asia/Tokyo	359043379931766775
37.65639	126.835	Goyang-si	KR	Asia/Seoul	8630330696303482188
39.78504	-85.76942	Greenfield	US	America/Indiana/Indianapolis	8630330696303482113
13.48082	-86.58208	Somoto	NI	America/Managua	3590433799317661313
18.51957	73.85535	Pune	IN	Asia/Kolkata	3590433799317662030
55.63711	37.38115	Solntsevo	RU	Europe/Moscow	863033069630348958
32.17629	75.06583	Fazilpur	PK	Asia/Karachi	863033069630348933
35.6803	51.0193	Shahre Jadide Andisheh	IR	Asia/Tehran	3590433799317661651
25.75728	75.37991	Deoli	IN	Asia/Kolkata	3590433799317661347
22.75218	72.68533	Kheda	IN	Asia/Kolkata	3590433799317661784
-37.88333	145.06667	Carnegie	AU	Australia/Melbourne	3590433799317661289
41.8542	-87.66561	Lower West Side	US	America/Chicago	863033069630348057
26.9423	68.11759	Tharu Shah	PK	Asia/Karachi	863033069630348461
-10.95817	-38.79084	Tucano	BR	America/Bahia	359043379931766007
20.22816	-103.5687	Zacoalco de Torres	MX	America/Mexico_City	3590433799317661438
40.58654	-122.39168	Redding	US	America/Los_Angeles	863033069630348040
23.5654	119.58627	Magong	TW	Asia/Taipei	863033069630348164
41.91886	8.73812	Ajaccio	FR	Europe/Paris	359043379931766189
52.59319	13.32127	Wittenau	DE	Europe/Berlin	3590433799317661487
19.21667	73.08333	Dombivli	IN	Asia/Kolkata	3590433799317662105
14.8361	120.97844	Guyong	PH	Asia/Manila	359043379931766114
41.57721	-93.71133	West Des Moines	US	America/Chicago	8630330696303482089
51.38673	0.30367	Hartley	GB	Europe/London	8630330696303481214
32.44874	-99.73314	Abilene	US	America/Chicago	3590433799317662139
51.44889	5.51978	Tongelre	NL	Europe/Amsterdam	863033069630348685
34.95303	-120.43572	Santa Maria	US	America/Los_Angeles	3590433799317661016
41.57439	24.71204	Smolyan	BG	Europe/Sofia	3590433799317661362
43.41949	77.0202	Otegen Batyra	KZ	Asia/Almaty	8630330696303482055
40.53123	17.58522	Francavilla Fontana	IT	Europe/Rome	863033069630348206
53.37596	51.3452	Otradnyy	RU	Europe/Samara	359043379931766791
50.511002	14.150558	Terezín	CZ	Europe/Prague	3590433799317661321
-2.90055	-79.00453	Cuenca	EC	America/Guayaquil	8630330696303481222
30.76468	74.12286	Kanganpur	PK	Asia/Karachi	8630330696303482329
51.26	-2.1875	Westbury	GB	Europe/London	863033069630348701
41.55815	-73.0515	Waterbury	US	America/New_York	359043379931766924
44.85278	65.50917	Kyzylorda	KZ	Asia/Qyzylorda	359043379931766437
43.54072	-116.56346	Nampa	US	America/Boise	359043379931766452
33.92866	-6.90656	Temara	MA	Africa/Casablanca	8630330696303481719
33.4425	129.96972	Karatsu	JP	Asia/Tokyo	3590433799317661107
51.95838	4.47124	Schiebroek	NL	Europe/Amsterdam	863033069630348545
35.815	139.6853	Shimotoda	JP	Asia/Tokyo	863033069630348156
48.98994	2.1699	Herblay	FR	Europe/Paris	3590433799317661123
10.22677	-67.33122	La Victoria	VE	America/Caracas	359043379931766684
48.15659	28.28489	Soroca	MD	Europe/Chisinau	3590433799317661917
21.59983	71.21169	Amreli	IN	Asia/Kolkata	3590433799317661438
36.06386	4.62744	El Achir	DZ	Africa/Algiers	8630330696303481503
35.8	137.23333	Gero	JP	Asia/Tokyo	3590433799317661057
4.73245	-74.26419	Madrid	CO	America/Bogota	359043379931766106
41.92361	20.91361	Bogovinje	MK	Europe/Skopje	863033069630348016
41.15376	-87.88754	Bourbonnais	US	America/Chicago	863033069630348487
40.56754	-89.64066	Pekin	US	America/Chicago	3590433799317661750
34.31	-2.16	Jerada	MA	Africa/Casablanca	8630330696303481487
0.76755	24.43973	Yangambi	CD	Africa/Lubumbashi	3590433799317662261
-6.8	39.25	Magomeni	TZ	Africa/Dar_es_Salaam	359043379931766510
53.37596	51.3452	Otradnyy	RU	Europe/Samara	359043379931766817
52.41667	0.75	Thetford	GB	Europe/London	3590433799317662196
8.88988	-79.62603	Veracruz	PA	America/Panama	3590433799317662485
3.7278	98.6738	Labuhan Deli	ID	Asia/Jakarta	863033069630348529
33.44872	-86.78777	Vestavia Hills	US	America/Chicago	359043379931766635
-33.75881	150.99292	Baulkham Hills	AU	Australia/Sydney	3590433799317661172
42.8334	-80.38297	Norfolk County	CA	America/Toronto	3590433799317661396
-7.73379	113.69785	Besuki	ID	Asia/Jakarta	8630330696303481339
10.98778	-74.95472	Puerto Colombia	CO	America/Bogota	3590433799317662329
53.0233	-1.48119	Belper	GB	Europe/London	863033069630348719
-4.83	29.65806	Mwandiga	TZ	Africa/Dar_es_Salaam	8630330696303482113
51.168	7.973	Finnentrop	DE	Europe/Berlin	863033069630348289
7.50251	5.06258	Igbara-Odo	NG	Africa/Lagos	3590433799317662329
52.41667	0.75	Thetford	GB	Europe/London	8630330696303481008
33.3213	130.94098	Hita	JP	Asia/Tokyo	8630330696303481073
40.70995	0.57856	Amposta	ES	Europe/Madrid	8630330696303482238
22.83957	91.84128	Manikchari	BD	Asia/Dhaka	8630330696303481560
31.96258	73.97117	Naushahra Virkan	PK	Asia/Karachi	359043379931766254
35.30889	139.55028	Kamakura	JP	Asia/Tokyo	3590433799317662360
47.83333	59.6	Shalqar	KZ	Asia/Aqtobe	359043379931766981
26.2173	-80.22588	North Lauderdale	US	America/New_York	863033069630348412
35.85	117.7	Dongdu	CN	Asia/Shanghai	359043379931766072
50.79205	-1.08593	Southsea	GB	Europe/London	8630330696303481685
33.42585	-6.00137	Oulmes	MA	Africa/Casablanca	359043379931766072
43.32393	5.4584	Les Olives	FR	Europe/Paris	8630330696303482360
-19.7625	-44.31389	Esmeraldas	BR	America/Sao_Paulo	8630330696303482063
14.8361	120.97844	Guyong	PH	Asia/Manila	8630330696303481586
37.51803	15.00913	Misterbianco	IT	Europe/Rome	3590433799317661396
50.26729	-119.27337	Vernon	CA	America/Vancouver	359043379931766452
34.86472	117.55417	Zaozhuang	CN	Asia/Shanghai	863033069630348321
53.63333	9.85	Halstenbek	DE	Europe/Berlin	3590433799317661628
53.93361	37.92792	Kireyevsk	RU	Europe/Moscow	359043379931766353
40.65995	-111.99633	Kearns	US	America/Denver	3590433799317661503
58.23583	92.48278	Lesosibirsk	RU	Asia/Krasnoyarsk	863033069630348594
-7.60361	37.00438	Kidodi	TZ	Africa/Dar_es_Salaam	8630330696303481321
41.57721	-93.71133	West Des Moines	US	America/Chicago	8630330696303482170
30.81383	75.16878	Moga	IN	Asia/Kolkata	8630330696303481305
25.67927	-80.31727	Kendall	US	America/New_York	863033069630348065
-7.76667	35.7	Iringa	TZ	Africa/Dar_es_Salaam	3590433799317662295
43.4125	23.225	Montana	BG	Europe/Sofia	8630330696303481966
49.97704	9.15214	Aschaffenburg	DE	Europe/Berlin	3590433799317661875
37.31065	13.57661	Agrigento	IT	Europe/Rome	8630330696303481404
50.82882	-0.32247	Lancing	GB	Europe/London	359043379931766742
47.05	15.46667	Sankt Peter	AT	Europe/Vienna	3590433799317662451
52.09	5.23333	Zeist	NL	Europe/Amsterdam	3590433799317661990
40.78206	72.34424	Andijon	UZ	Asia/Tashkent	863033069630348727
41.91886	8.73812	Ajaccio	FR	Europe/Paris	863033069630348917
23.0072	-82.4017	Boyeros	CU	America/Havana	359043379931766163
2.41669	30.98551	Paidha	UG	Africa/Kampala	3590433799317661867
10.7375	122.9666	Talisay	PH	Asia/Manila	8630330696303481719
26.2173	-80.22588	North Lauderdale	US	America/New_York	359043379931766718
50.073658	14.418540	Praha	CZ	Europe/Prague	359043379931766940
17.94979	-94.91386	Acayucan	MX	America/Mexico_City	8630330696303482105
50.74497	3.20639	Mouscron	BE	Europe/Brussels	8630330696303481248
37.31309	40.74357	Mardin	TR	Europe/Istanbul	863033069630348651
32.9156	-117.14392	Mira Mesa	US	America/Los_Angeles	3590433799317661065
49.41029	38.15035	Svatove	UA	Europe/Zaporozhye	359043379931766973
23.49668	86.68363	Adra	IN	Asia/Kolkata	359043379931766338
30.17746	-81.38758	Palm Valley	US	America/New_York	8630330696303481735
43.1122	12.38878	Perugia	IT	Europe/Rome	359043379931766270
-33.75881	150.99292	Baulkham Hills	AU	Australia/Sydney	863033069630348263
36.61033	-88.31476	Murray	US	America/Chicago	863033069630348503
-21.15	46.58333	Ikalamavony	MG	Indian/Antananarivo	3590433799317661537
39.78504	-85.76942	Greenfield	US	America/Indiana/Indianapolis	3590433799317662188
55.54028	89.20083	Sharypovo	RU	Asia/Krasnoyarsk	3590433799317661131
46.32313	-0.45877	Niort	FR	Europe/Paris	863033069630348768
